cusip,asset_class_type_cd,ISSUER_INDUSTRY,MTG_AMORT_TYPE_LEVEL_FRM_CURR,MTG_TYPE,MTG_PREPAY_TYP,SECURITY_TYP,SECURITY_TYP2,CPN_TYP,MARKET_SECTOR_DES,MTG_COLLAT_TYP,tax_code_c,bank_qualified_i,dated_date_d,capital_purpose_c
00212JAY8,PLMBS,,59.9903,"EXCH,SC+",CPR,Prvt CMO Other,Whole Loan,VARIABLE,Mtge,WHARM3.0,,,,
00287YAP4,USCORP,INDUSTRIAL,,,,GLOBAL,,FIXED,Corp,,,,,
00344NJJ4,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,10/15/13,NEW
00344NLB8,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,4/15/15,NEW
00507UAP6,USCORP,INDUSTRIAL,,,,GLOBAL,,FIXED,Corp,,,,,
005176KK7,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,6/1/17,NEW
00206RAR3,USCORP,TELEPHONE,,,,GLOBAL,,FIXED,Corp,,,,,
006644J41,MUNIGM,GOB,,,,FIXED,,FIXED,Muni,,EXMP,N,5/1/16,REF
007036CT1,PLMBS,,5.87,"FLT,+",CPR,Prvt CMO FLT,Whole Loan,FLOATING,Mtge,WHARM3.3,,,,
008770PW3,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,9/21/16,NEW
010033W53,MUNITAX,GOB,,,,FIXED,,FIXED,Muni,,TAX,N,12/6/16,REF
01016QAA0,MUNITAX,HGR,,,,FIXED,,FIXED,Muni,,TAX,N,9/10/03,NEW
00206RCR1,USCORP,TELEPHONE,,,,GLOBAL,,FIXED,Corp,,,,,
005158VU1,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,6/1/15,NEW
005176KJ0,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,6/1/17,NEW
005491CD5,MUNIBQ,SCD,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,Y,6/8/05,REF
005518QX6,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,2/16/06,REF
005596CQ2,MUNIBE,GEN,,,,"FIXED, OID",,"FIXED, OID",Muni,,EXMP,N,1/27/09,NEW
000780HL3,PLMBS,,,"SEQ,AS",CPR,Prvt CMO Other,Whole Loan,FIXED,Mtge,WH15 4.6,,,,
005176JN3,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,9/21/16,REF
005486DE2,MUNIBQ,SCD,,,,FIXED,,FIXED,Muni,,EXMP,Y,12/6/11,REF
006449GS5,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,12/20/16,NEW
006449GW6,MUNIGM,SCD,,,,FIXED,,FIXED,Muni,,EXMP,N,12/20/16,NEW
